SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,13420 31st Dr SE,Mill Creek,WA,98012,540000,5,3.0,Mill Creek,1827,6098,1995,10,296,,Pending,,,http://www.redfin.com/WA/Mill-Creek/13420-31st-Dr-SE-98012/home/2844625,NWMLS,1271890,N,Y,47.8754115,-122.1901101
MLS Listing,,Condo/Co-op,15433 Country Club Dr Unit G309,Mill Creek,WA,98012,257500,2,2.0,Mill Creek,927,284025,1991,11,278,569,Active,,,http://www.redfin.com/WA/Mill-Creek/15433-Country-Club-Dr-98012/unit-G309/home/2912602,NWMLS,1271158,N,Y,47.8580859,-122.2081136
PAST SALE,February-12-2015,Single Family Residential,3517 198th St SE,Bothell,WA,98012,695000,3,2.5,Bothell,2142,3485,2015,11,324,85,Pending,,,http://www.redfin.com/WA/Bothell/3517-198th-St-SE-98012/home/105199419,NWMLS,1261905,N,Y,47.818245,-122.1850413
PAST SALE,May-18-2011,Single Family Residential,18711 25th Ave SE,Bothell,WA,98012,599000,4,2.75,North Bothell,2133,12632,1978,11,281,,Pending,,,http://www.redfin.com/WA/Bothell/18711-25th-Ave-SE-98012/home/2780750,NWMLS,1268341,N,Y,47.8279837,-122.1991282
PAST SALE,January-31-2018,Single Family Residential,19429 Meridian Dr SE #3,Bothell,WA,98012,729950,4,2.5,Bothell,2513,3323,2015,14,290,45,Pending,,,http://www.redfin.com/WA/Bothell/19429-Meridian-Dr-SE-98012/unit-3/home/101782863,NWMLS,1270560,N,Y,47.821312,-122.231666
PAST SALE,November-17-2006,Single Family Residential,2615 Seattle Hill Rd,Mill Creek,WA,98012,1125432,4,3.75,Mill Creek,4393,11234,2007,14,256,,Pending,,,http://www.redfin.com/WA/Mill-Creek/2615-Seattle-Hill-Rd-98012/home/22960134,NWMLS,1270454,N,Y,47.8551962,-122.1970853
PAST SALE,,Single Family Residential,4305 187th St SE,Bothell,WA,98012,749995,4,2.25,North Creek,2214,3371,2018,14,339,88,Pending,,,http://www.redfin.com/WA/Bothell/4305-187th-St-SE-98012/home/145281859,NWMLS,1270360,N,Y,47.8281489,-122.195332
MLS Listing,,Single Family Residential,4311 187th St SE,Bothell,WA,98012,735995,4,2.25,North Creek,1876,2646,2018,14,392,85,Active,,,http://www.redfin.com/WA/Bothell/4311-187th-St-SE-98012/home/145281790,NWMLS,1270345,N,Y,47.8281489,-122.195332
MLS Listing,,Single Family Residential,4322 186th Place SE,Bothell,WA,98012,674995,3,2.25,North Creek,1567,3343,2018,14,431,88,Active,,,http://www.redfin.com/WA/Bothell/4322-186th-Pl-SE-98012/home/145281748,NWMLS,1270330,N,Y,47.8283737,-122.1737496
MLS Listing,,Townhouse,1325 Seattle Hill Rd Unit E2,Bothell,WA,98012,598900,3,3.25,Mill Creek,2027,1219,2018,14,295,121,Active,April-21-2018 11:00 AM,April-21-2018 05:00 PM,http://www.redfin.com/WA/Bothell/1325-Seattle-Hill-Rd-98012/unit-E2/home/145103571,NWMLS,1270199,N,Y,47.8450585,-122.2147022
PAST SALE,February-28-2008,Single Family Residential,20212 28th Ave SE,Bothell,WA,98012,689950,3,2.5,Thrashers Corner,2077,7841,1996,14,332,29,Pending,,,http://www.redfin.com/WA/Bothell/20212-28th-Ave-SE-98012/home/2846302,NWMLS,1268763,N,Y,47.8144245,-122.1949791
PAST SALE,December-15-1999,Single Family Residential,15329 14th Dr SE,Mill Creek,WA,98012,850000,5,2.5,Mill Creek,3181,9583,1999,14,267,38,Pending,,,http://www.redfin.com/WA/Mill-Creek/15329-14th-Dr-SE-98012/home/2865335,NWMLS,1269545,N,Y,47.8582139,-122.2134451
PAST SALE,October-21-2016,Single Family Residential,18509 43rd Dr SE,Bothell,WA,98012,750000,4,2.5,North Bothell,2611,3920,2016,14,287,87,Pending,,,http://www.redfin.com/WA/Bothell/18509-43rd-Dr-SE-98012/home/89208157,NWMLS,1270071,N,Y,47.8296914,-122.1737842
PAST SALE,October-23-2001,Single Family Residential,2525 166th Place SE,Bothell,WA,98012,544950,3,3.0,Mill Creek,2100,7405,1984,15,260,,Pending,,,http://www.redfin.com/WA/Bothell/2525-166th-Pl-SE-98012/home/2804526,NWMLS,1270017,N,Y,47.8473896,-122.1976578
PAST SALE,,Single Family Residential,2 199th Place SE,Bothell,WA,98012,439000,3,2.5,Bothell,1527,9583,1987,15,287,,Pending,,,http://www.redfin.com/WA/Bothell/2-199th-Pl-SE-98012/home/2813412,NWMLS,1268618,N,Y,47.8160565,-122.2325119
